Total Contract Spending Trend,,,,,,,,,,Yearly Spending Trend & Annual Contract Volume,,,,
"Insights: Shows which departments consume the largest share of public funds, helping identify budget concentration.",,,,,,,,,,"Insight: Displays growth or decline in government spending over time and shows contract activity level, ensuring spending trends are not misinterpreted and useful for budget forecasting",,,,
,,,,,,,,,,,,,,
Department,SUM of Award Amount,COUNTA of Purchase Order (Contract) Number,,,,,,,,Start Date Year,SUM of Award Amount,COUNTA of Purchase Order (Contract) Number,,
CHRISTIAN MEJIA|105464240X,"$6,000",,,,,,,,,,,,,
CHRISTIAN LEE|10616487,"$6,000",,,,,,,,,,,,,
CHRIS RENTERIA|10616745,"$6,000",,,,,,,,,,,,,
CHASITY FOSTER|10623382,"$6,000",,,,,,,,,,,,,
CHARLES VANDERKLIPP|10626170,"$6,000",,,,,,,,,,,,,
CHARLES HONEYWOOD|10615967,"$6,000",,,,,,,,,,,,,
CHARLES CADKIN|105474173V,"$6,000",,,,,,,,,,,,,
CHANDLER ESCOBEDO|10597339,"$6,000",,,,,,,,,,,,,
CECLIE DEREL|10615859,"$6,000",,,,,,,,,,,,,
CATHERINE JOHNSON 01|105472221H,"$6,000",,,,,,,,,,,,,
CASEY HANBURY|10615960,"$6,000",,,,,,,,,,,,,
CAROLYN ELAINE. HARVEY|31298104L,"$6,000",,,,,,,,,,,,,
CAROLINE RODRIGUEZ|10617071,"$6,000",,,,,,,,,,,,,
CAROLINA POSSE|105462901M,"$6,000",,,,,,,,,,,,,
CARLO BASILE|102464212E,"$6,000",,,,,,,,,,,,,
CARL DEANGELO|10625681,"$6,000",,,,,,,,,,,,,
CANDACE BREEDLOVE|105454376A,"$6,000",,,,,,,,,,,,,
CALEB WILLITZ|95236468L,"$6,000",,,,,,,,,,,,,
CAI THOMAS|105474891T,"$6,000",,,,,,,,,,,,,
BRIDGET FRANCES HARRIS|10597349,"$6,000",,,,,,,,,,,,,
BRIANA JOHNSON|10616407,"$6,000",,,,,,,,,,,,,
BRIAN SYKES|10626150,"$6,000",,,,,,,,,,,,,
BRIAN SCHODORF|10596961,"$6,000",,,,,,,,,,,,,
BRET KOONTZ|10598882,"$6,000",,,,,,,,,,,,,
BRENNA QUINN|10595459,"$6,000",,,,,,,,,,,,,
BONNIE TAYLOR-WILLIAMS|10616767,"$6,000",,,,,,,,,,,,,
BM MEDIA GROUP LLC|10627309,"$6,000",,,,,,,,,,,,,
BETH HETLAND|10598816,"$6,000",,,,,,,,,,,,,
BERT RICH|105463561M,"$6,000",,,,,,,,,,,,,
BEATRICE SCESCKE|10598400,"$6,000",,,,,,,,,,,,,
BARBARA KASTEN|10598990,"$6,000",,,,,,,,,,,,,
AYA NAKAMURA|10616718,"$6,000",,,,,,,,,,,,,
AUGUSTINE ESTERHAMMER-FIC|10625567,"$6,000",,,,,,,,,,,,,
AUDREY POLINSKI|10598895,"$6,000",,,,,,,,,,,,,
ASSIA BOUNDAOUI|10598438,"$6,000",,,,,,,,,,,,,
ASHWATY CHENNAT|10615558,"$6,000",,,,,,,,,,,,,
ASHLEY MERRIWEATHER|10616586,"$6,000",,,,,,,,,,,,,
ASHLEY HART|10625580,"$6,000",,,,,,,,,,,,,
ASHELY MILLS|10596962,"$6,000",,,,,,,,,,,,,
ASHANTIA DAY|10625699,"$6,000",,,,,,,,,,,,,
ARTURO NINO FRESAN|10625847,"$6,000",,,,,,,,,,,,,
ARTHUR BLACK|10615788,"$6,000",,,,,,,,,,,,,
ARIEL ZETINA|102605534A,"$6,000",,,,,,,,,,,,,
ANTHONY EVORA|10624753,"$6,000",,,,,,,,,,,,,
ANTHONY BUFORD|10597303,"$6,000",,,,,,,,,,,,,
ANNE BRUNELL|64060100X,"$6,000",,,,,,,,,,,,,
ANNA PISZEZOR|102465868P,"$6,000",,,,,,,,,,,,,
ANKE LOH|105472271H,"$6,000",,,,,,,,,,,,,
ANGELA AZMITIA|10624763,"$6,000",,,,,,,,,,,,,
ANDREW YEARICK|105472889X,"$6,000",,,,,,,,,,,,,
ANDREW TOOMBS|10624715,"$6,000",,,,,,,,,,,,,
ANDREA ZIDEK|10616825,"$6,000",,,,,,,,,,,,,
ANDREA LYNNE CRIST|95235838V,"$6,000",,,,,,,,,,,,,
ANDREA JABLONSKI|10615987,"$6,000",,,,,,,,,,,,,
ANDREA BESCHEL|10625706,"$6,000",,,,,,,,,,,,,
ANDERS ZANICHKOWSKY|10616805,"$6,000",,,,,,,,,,,,,
ANCA SZILAGYI|10626151,"$6,000",,,,,,,,,,,,,
AMY WURTZ|56198023,"$6,000",,,,,,,,,,,,,
AMY HELLER|10597002,"$6,000",,,,,,,,,,,,,
AMINA DREESSEN|10617488,"$6,000",,,,,,,,,,,,,
AMBER LOVE|105469623E,"$6,000",,,,,,,,,,,,,
AMANDA CHRISTINE HARTH|10624765,"$6,000",,,,,,,,,,,,,
ALVIN COBB JR.|10615568,"$6,000",,,,,,,,,,,,,
ALTA PRICE|10598896,"$6,000",,,,,,,,,,,,,
ALLISON OROBIA|10616618,"$6,000",,,,,,,,,,,,,
ALIYAH JONES|10625589,"$6,000",,,,,,,,,,,,,
ALICE DA CUNHA|102676192P,"$6,000",,,,,,,,,,,,,
ALEXANDRIA EREGBU|95493398P,"$6,000",,,,,,,,,,,,,
ALEXANDER BELTRAN|10624599,"$6,000",,,,,,,,,,,,,
ALEX EMMANUEL CHAVEZ|102457412X,"$6,000",,,,,,,,,,,,,
ALBERTO ORTEGA-TREJO|10598848,"$6,000",,,,,,,,,,,,,
AKENYA SEYMOUR|10616760,"$6,000",,,,,,,,,,,,,
ADRIAN WONG|10599892,"$6,000",,,,,,,,,,,,,
ADRIAN DAVIS|10615858,"$6,000",,,,,,,,,,,,,
ADHANA REID|10598992,"$6,000",,,,,,,,,,,,,
ADAM ZANOLINI|98770968T,"$6,000",,,,,,,,,,,,,
ADAM GOTTLIEB|102570464A,"$6,000",,,,,,,,,,,,,
ABIGAIL THOMPSON|10626172,"$6,000",,,,,,,,,,,,,
ABIGAIL PIERCE|104465297T,"$6,000",,,,,,,,,,,,,
ABBEY MUZATKO|102466670Z,"$6,000",,,,,,,,,,,,,
AASHA FRANCIS|105463850M,"$6,000",,,,,,,,,,,,,
SADIE ROGERS|10616749,"$5,750",,,,,,,,,,,,,
SADAF FERDOWSI|10615948,"$5,750",,,,,,,,,,,,,
KEEFEE JACKSON|63255696H,"$5,750",,,,,,,,,,,,,
KATHRYN BAWDEN|10625456,"$5,750",,,,,,,,,,,,,
YESENIA BELLO|10597283,"$5,500",,,,,,,,,,,,,
VIOLA ALMUNIR|10625344,"$5,500",,,,,,,,,,,,,
ROSE BLOUIN|105467200T,"$5,500",,,,,,,,,,,,,
NICOLE HUMPHREY|10598452,"$5,500",,,,,,,,,,,,,
NANAE FUJIWARA|10615343,"$5,500",,,,,,,,,,,,,
MARIA GUASSO|10601437,"$5,500",,,,,,,,,,,,,
MARGARET KUBLEY|10598883,"$5,500",,,,,,,,,,,,,
MARGARET BRIDGER|10597287,"$5,500",,,,,,,,,,,,,
MARCI RUBIN|50105116,"$5,500",,,,,,,,,,,,,
JONATHAN GARDNER|10597345,"$5,500",,,,,,,,,,,,,
JAMES HOSKING|10615605,"$5,500",,,,,,,,,,,,,
FAITH MISTERS|10598888,"$5,500",,,,,,,,,,,,,
ERIK PETERSON|94581144L,"$5,500",,,,,,,,,,,,,
ELIZABETH BJORNEBERG|10615744,"$5,500",,,,,,,,,,,,,
DENISE YVETTE SERNA|10599042,"$5,500",,,,,,,,,,,,,
CHRISTINA SEO|10616759,"$5,500",,,,,,,,,,,,,
CHLOE JOHNSON|102625388M,"$5,500",,,,,,,,,,,,,
CHAD MCCULLOUGH|105462690X,"$5,500",,,,,,,,,,,,,
CAMILO RINCON|10626841,"$5,500",,,,,,,,,,,,,
BOBBI WILSYN|44156703Z,"$5,500",,,,,,,,,,,,,
ALEJANDRO AYALA|10597306,"$5,500",,,,,,,,,,,,,
MADISON MAY|10616579,"$5,250",,,,,,,,,,,,,
JORDAN KNECHT|10625543,"$5,250",,,,,,,,,,,,,
HOLLIE SMURTHWAITE|10616762,"$5,250",,,,,,,,,,,,,
ELISE GLILCKMAN|10616482,"$5,250",,,,,,,,,,,,,
REGIN IGLORIA|102457250H,"$5,200",,,,,,,,,,,,,
DALIA CHIN|95236421P,"$5,050",,,,,,,,,,,,,
WILLIAM JAMES MORAN|10624767,"$5,000",,,,,,,,,,,,,
VANESSA PAGE WRIGHT|10599229,"$5,000",,,,,,,,,,,,,
TIRTZA EVEN|102466615H,"$5,000",,,,,,,,,,,,,
THOMAS DESCH|102466520X,"$5,000",,,,,,,,,,,,,
SOL DE MEXICO TIERRA AZTECA|23432360H,"$5,000",,,,,,,,,,,,,
SOHANN GOSS|10601653,"$5,000",,,,,,,,,,,,,
SARAH MCLAUGHLIN TAPPER|10598846,"$5,000",,,,,,,,,,,,,
ROMEL SIMS|10626442,"$5,000",,,,,,,,,,,,,
RICHARD BRASSEALE|10597286,"$5,000",,,,,,,,,,,,,
RAILROAD TRACKS MUSIC ACADEMY|10599235,"$5,000",,,,,,,,,,,,,
OLIVIA PETERSON 01|10626163,"$5,000",,,,,,,,,,,,,
NICOLE NOLAND|10617825,"$5,000",,,,,,,,,,,,,
MONIKA PLIOPLYTE|10598894,"$5,000",,,,,,,,,,,,,
MICHAEL J MILES|102618979M,"$5,000",,,,,,,,,,,,,
MELISSA SENESE|10624672,"$5,000",,,,,,,,,,,,,
MELANIE VITATERNA|10616624,"$5,000",,,,,,,,,,,,,
MARK NAGY|10616717,"$5,000",,,,,,,,,,,,,
LAVELLE JOSHUA|10599890,"$5,000",,,,,,,,,,,,,
LALEH KHOSHNAVAZ MOTLAGH|10616439,"$5,000",,,,,,,,,,,,,
KEVIN WEIL|10616787,"$5,000",,,,,,,,,,,,,
KELLY KRISTIN JONES|10596690,"$5,000",,,,,,,,,,,,,
KATHERINE SHULDINER|10596853,"$5,000",,,,,,,,,,,,,
KATHERINE PETERSEN|10616729,"$5,000",,,,,,,,,,,,,
JULIA PELLO|10598892,"$5,000",,,,,,,,,,,,,
JUAN ANTONIO BANOS ARJONA|10625408,"$5,000",,,,,,,,,,,,,
JUAN A CHAVEZ|102613572L,"$5,000",,,,,,,,,,,,,
JOSE ENRIQUE GUZMAN BORRERO|10616404,"$5,000",,,,,,,,,,,,,
JORDAN PORTER-WOODRUFF|10616739,"$5,000",,,,,,,,,,,,,
JOHN SIBLEY|50069266,"$5,000",,,,,,,,,,,,,
JO CATTELL|105462832A,"$5,000",,,,,,,,,,,,,
JERRY LUNA|10625901,"$5,000",,,,,,,,,,,,,
JENNIFER LAMB-HEATHERINGTON|10625765,"$5,000",,,,,,,,,,,,,
JASMINE WILLIAMS|10601441,"$5,000",,,,,,,,,,,,,
GUANYU XU|10599232,"$5,000",,,,,,,,,,,,,
GABRIEL ISAAC CUILLIER|10597338,"$5,000",,,,,,,,,,,,,
FREDERICK WILSON 01|10626286,"$5,000",,,,,,,,,,,,,
EVAN LEVINE|105464206T,"$5,000",,,,,,,,,,,,,
ESTABLISHED AUTO SERVICE LLC|10596570,"$5,000",,,,,,,,,,,,,
EL BRASERITO INC.|10596965,"$5,000",,,,,,,,,,,,,
DANIEL GAYDEN|10625704,"$5,000",,,,,,,,,,,,,
COLETTE GREGORY|105463398P,"$5,000",,,,,,,,,,,,,
CEDRIC WILLIAMS|10599321,"$5,000",,,,,,,,,,,,,
CARE FOR REAL|105488772E,"$5,000",,,,,,,,,,,,,
BRUCE RILEY|1050801,"$5,000",,,,,,,,,,,,,
BRANDI BERRY BENSON|105473238L,"$5,000",,,,,,,,,,,,,
BOB DOLGAN|105477169V,"$5,000",,,,,,,,,,,,,
BENJAMIN KINSINGER|10625687,"$5,000",,,,,,,,,,,,,
ARIEL GOLDBERG|10619658,"$5,000",,,,,,,,,,,,,
ANTARA ANJALI BERA|10596999,"$5,000",,,,,,,,,,,,,
ALYSHA MCELROY-HODGES|10616582,"$5,000",,,,,,,,,,,,,
ALEJANDRA OLIVA|10626030,"$5,000",,,,,,,,,,,,,
ALANA THOMPSON|10615628,"$5,000",,,,,,,,,,,,,
18TH STREET CASA DE CULTURA|10605130,"$5,000",,,,,,,,,,,,,
MATHER HIGH SCHOOL ALUMNI SCHOLARSHIP FUND|10594276,"$4,942",,,,,,,,,,,,,
JEWISH CHILD & FAMILY SERVICES|102669706H,"$4,942",,,,,,,,,,,,,
SHELLEY ANDREA DAVIS|10624733,"$4,750",,,,,,,,,,,,,
NYELA BASNEY|10625411,"$4,750",,,,,,,,,,,,,
LIA KOHL|102467026E,"$4,750",,,,,,,,,,,,,
JAKE HAWRYLAK|10615961,"$4,750",,,,,,,,,,,,,
ELIZABETH THOMPKINS|10625895,"$4,750",,,,,,,,,,,,,
ANTON AUTH|10625392,"$4,750",,,,,,,,,,,,,
AMBER JOHNSON|10625587,"$4,750",,,,,,,,,,,,,
ALIA MONTIJO|10616588,"$4,750",,,,,,,,,,,,,
SOCIAL SIMULATOR INC|10602002,"$4,550",,,,,,,,,,,,,
SUSANNAH PAPISH HORNER|34829363A,"$4,500",,,,,,,,,,,,,
JAERIN SON|10616763,"$4,500",,,,,,,,,,,,,
EMIL ROBINSON|10599038,"$4,500",,,,,,,,,,,,,
ELI WINTER|10599228,"$4,500",,,,,,,,,,,,,
CURTIS MATZKE|10596852,"$4,500",,,,,,,,,,,,,
AERON MAXWELL|50106343,"$4,500",,,,,,,,,,,,,
KYLE CHURNEY|10615750,"$4,250",,,,,,,,,,,,,
JENNIFER ESTLIN|10625568,"$4,250",,,,,,,,,,,,,
YUXIAO WANG|105474994A,"$4,000",,,,,,,,,,,,,
SONIA'S MODERN BEAUTY SALON|10596921,"$4,000",,,,,,,,,,,,,
MY LINH MAC|10599891,"$4,000",,,,,,,,,,,,,
MAYA BENTLEY|10625457,"$4,000",,,,,,,,,,,,,
LUDVIG PERES|10598893,"$4,000",,,,,,,,,,,,,
JULIANA ITURRALE|10599051,"$4,000",,,,,,,,,,,,,
JEEYEUN LEE|105464889E,"$4,000",,,,,,,,,,,,,
IYANA BROWN-BEY|10625459,"$4,000",,,,,,,,,,,,,
ISABEL FIERRO LLC|10596877,"$4,000",,,,,,,,,,,,,
INFINITY NAILS INCORPORATED|10596008,"$4,000",,,,,,,,,,,,,
GILLIAN HEMME|102562985L,"$4,000",,,,,,,,,,,,,
"DIASPORAL RHYTHMS, NFP|50088351","$4,000",,,,,,,,,,,,,
DANIELLE ROSEN|105474821H,"$4,000",,,,,,,,,,,,,
CARLOS FLORES 01|105474260L,"$4,000",,,,,,,,,,,,,
ANN TOEBBE|64929977P,"$4,000",,,,,,,,,,,,,
ANITA LOUISE DARWISH|95584900H,"$4,000",,,,,,,,,,,,,
FELIPE TOBAR|10624541,"$3,750",,,,,,,,,,,,,
WRIGHT GATEWOOD|10597007,"$3,500",,,,,,,,,,,,,
TRAVIS WALKER|10599053,"$3,500",,,,,,,,,,,,,
MICHELLE MAYNARD|56464062,"$3,500",,,,,,,,,,,,,
JUWAN LOCKETT|10625769,"$3,500",,,,,,,,,,,,,
JEFFREY WOLF|10615596,"$3,500",,,,,,,,,,,,,
AUSTEN BROWN|10597288,"$3,500",,,,,,,,,,,,,
LUCIANNE WALKOWICZ|10616784,"$3,250",,,,,,,,,,,,,
ALEXANDRA KOSTIW|10623051,"$3,250",,,,,,,,,,,,,
LIFE QUILT FOUNDATION|10595272,"$3,077",,,,,,,,,,,,,
TRISTAN TOM|10599044,"$3,000",,,,,,,,,,,,,
SHOWER UP|105505743M,"$3,000",,,,,,,,,,,,,
RHONDA GRAY|50789179M,"$3,000",,,,,,,,,,,,,
OLLIE WOODS|10599334,"$3,000",,,,,,,,,,,,,
NINA CASTILLO-D'ANGIER|10624705,"$3,000",,,,,,,,,,,,,
LUCY CARAPETYAN|10617169,"$3,000",,,,,,,,,,,,,
KATHY WEAVER|31293620H,"$3,000",,,,,,,,,,,,,
I AM LOGAN SQUARE|10602663,"$3,000",,,,,,,,,,,,,
FOOD MARKET AND FLOWERS INC|10597145,"$3,000",,,,,,,,,,,,,
ELIZABETH ANN MCDONALD|10598886,"$3,000",,,,,,,,,,,,,
DAIMON HAMPTON|105476271A,"$3,000",,,,,,,,,,,,,
CHICAGO CHESS FOUNDATION|105478920A,"$3,000",,,,,,,,,,,,,
CECILIA VILLARRUEL|10626169,"$3,000",,,,,,,,,,,,,
AVIYA KUSHNER|10381729,"$3,000",,,,,,,,,,,,,
ANDREAS FISCHER|10597341,"$3,000",,,,,,,,,,,,,
AKSHAT JAIN|10599889,"$3,000",,,,,,,,,,,,,
GLENN T. WALKSLER (GLENN WEXSLER)|95582761M,"$2,865",,,,,,,,,,,,,
JONATHAN PACHECO|10626034,"$2,750",,,,,,,,,,,,,
GENEVIEVE SWANSON|10624766,"$2,750",,,,,,,,,,,,,
WESLEY CLARK|10605520,"$2,500",,,,,,,,,,,,,
"SCULPTURE PARK, LLC|10616457","$2,500",,,,,,,,,,,,,
NORMAN KELLEY LLC|57200456,"$2,500",,,,,,,,,,,,,
NEW ROOTS LLC|10618588,"$2,500",,,,,,,,,,,,,
MADELINE GALLUCCI|10597344,"$2,500",,,,,,,,,,,,,
KIYOE MATSUURA|10616578,"$2,500",,,,,,,,,,,,,
JOSE SANTIAGO PEREZ|10599893,"$2,500",,,,,,,,,,,,,
ISRAEL PATE|10616728,"$2,500",,,,,,,,,,,,,
IAN KELLY|10598849,"$2,500",,,,,,,,,,,,,
"EKENE IJEOMA, INC|10616458","$2,500",,,,,,,,,,,,,
CNL PROJECTS|105473278E,"$2,500",,,,,,,,,,,,,
CHRISTINE TARKOWSKI|31287064M,"$2,500",,,,,,,,,,,,,
ALFONSO NIEVES|10614247,"$2,500",,,,,,,,,,,,,
ALEXIS BURR|10597293,"$2,500",,,,,,,,,,,,,
PIXSTER PHOTOBOOTH LLC|10616477,"$2,453",,,,,,,,,,,,,
BRANDON J. MURRAY|10625863,"$2,250",,,,,,,,,,,,,
LYNN BASA|33663622X,"$2,150",,,,,,,,,,,,,
SHOWER UP|10624408,"$2,000",,,,,,,,,,,,,
SARAH NISHIURA|95631020M,"$2,000",,,,,,,,,,,,,
MIGUEL DEL REAL|98770936Z,"$2,000",,,,,,,,,,,,,
GABRIEL VILLA|31359130H,"$2,000",,,,,,,,,,,,,
CESAR ALMEIDA|10596847,"$2,000",,,,,,,,,,,,,
CELINA GARDUNO|10597346,"$2,000",,,,,,,,,,,,,
BM MEDIA GROUP LLC|105507835Z,"$2,000",,,,,,,,,,,,,
BENJAMIN ZUCKER|10596849,"$2,000",,,,,,,,,,,,,
MORGAN EKLUND|10625565,"$1,750",,,,,,,,,,,,,
WORLD RELIEF CHICAGO|105488505X,"$1,538",,,,,,,,,,,,,
MARIA CHARIN ALVAREZ|1057686,"$1,500",,,,,,,,,,,,,
CATHY HSIAO|105464674H,"$1,500",,,,,,,,,,,,,
MARIEL HARARI|10624710,"$1,450",,,,,,,,,,,,,
RYLAND WHARTON|10623270,"$1,400",,,,,,,,,,,,,
NICOLE BECK|34489005A,"$1,400",,,,,,,,,,,,,
JOHN W BAKKER|10625881,"$1,300",,,,,,,,,,,,,
MARY WISNIEWSKI|10619121,"$1,250",,,,,,,,,,,,,
ZAQ ART LLC|10618969,"$1,000",,,,,,,,,,,,,
VALERIE XANOS|93184724A,"$1,000",,,,,,,,,,,,,
TREVOR NICHOLAS|10598891,"$1,000",,,,,,,,,,,,,
TALAMANTES LLC|10624354,"$1,000",,,,,,,,,,,,,
SARA CONDO|10615854,"$1,000",,,,,,,,,,,,,
RICARDO CANEDO MONDRAGON|10616391,"$1,000",,,,,,,,,,,,,
RHEA THE SECOND (ASHLEY OTIS)|10614592,"$1,000",,,,,,,,,,,,,
NICKALAS GOETTLING|10595298,"$1,000",,,,,,,,,,,,,
MOSI KAMAU|10616437,"$1,000",,,,,,,,,,,,,
MATTHEW MEDERER|10625212,"$1,000",,,,,,,,,,,,,
MARQUES KILGORE|10598850,"$1,000",,,,,,,,,,,,,
MARIA JACOBSON|105475120T,"$1,000",,,,,,,,,,,,,
KENDALL CONNER|10601652,"$1,000",,,,,,,,,,,,,
KEDRIA ARTS LLC|10624471,"$1,000",,,,,,,,,,,,,
JOSE NIETO|102454822X,"$1,000",,,,,,,,,,,,,
JOSE LUIS BENAVIDES|10626447,"$1,000",,,,,,,,,,,,,
JOSE CARRASQUILLO 01|10618634,"$1,000",,,,,,,,,,,,,
INDIRA JOHNSON|1042887,"$1,000",,,,,,,,,,,,,
FREDRICK JONES|10598453,"$1,000",,,,,,,,,,,,,
COREY HALL|105463835P,"$1,000",,,,,,,,,,,,,
CHRISTOPHER GAUSPOHL|10590530,"$1,000",,,,,,,,,,,,,
CHERI CHARLTON|10595297,"$1,000",,,,,,,,,,,,,
BETH SHADUR|10603135,"$1,000",,,,,,,,,,,,,
BASIL WATSON FINE ART LLC|10624754,"$1,000",,,,,,,,,,,,,
ANTHONY LEWELLEN|102468736H,"$1,000",,,,,,,,,,,,,
JOANNA BAK|10597356,$300,,,,,,,,,,,,,
"88 PLATES, LLC|105496069T",$100,,,,,,,,,,,,,
WOOD ENVIRONMENT & INFRASTRUCTURE SOLUTIONS INC|102575170P,$0,,,,,,,,,,,,,
WITT O'BRIEN'S LLC|102702481H,$0,,,,,,,,,,,,,
WEX BANK|95087751L,$0,,,,,,,,,,,,,
"WELCH BROTHERS, INC|63142152M",$0,,,,,,,,,,,,,
WATER TECHNOLOGY RESOURCES INC|95091984H,$0,,,,,,,,,,,,,
VULCAN CONSTRUCTION MATERIALS|85991208T,$0,,,,,,,,,,,,,
VOHNE LICHE KENNELS INC|31299105T,$0,,,,,,,,,,,,,
"VCNA PRAIRIE ILLINOIS, INC.|72267595E",$0,,,,,,,,,,,,,
VALERIE S KRETCHMER ASSOC. INC.|95310786X,$0,,,,,,,,,,,,,
VALDES LLC|102457371X,$0,,,,,,,,,,,,,
US LEGAL SUPPORT INC|66082125A,$0,,,,,,,,,,,,,
"URBAN GIS, INC|102553562L",$0,,,,,,,,,,,,,
"UPLAND DESIGN, LIMITED|95617703M",$0,,,,,,,,,,,,,
UNIVERSITY PRODUCTS INC|95156414L,$0,,,,,,,,,,,,,
UNIVERSAL SECURITY INC|95235414Z,$0,,,,,,,,,,,,,
UNISOURCE|85240731V,$0,,,,,,,,,,,,,
"UCG ASSOCIATES, INC.|95600729Z",$0,,,,,,,,,,,,,
TWO FIVE THREE TWO CORP NFP|105490116H,$0,,,,,,,,,,,,,
"TRUE NORTH LOGISTICS, LLC|102526785P",$0,,,,,,,,,,,,,
TRI-ANGLE FABRICATION & BODY|92237454Z,$0,,,,,,,,,,,,,
TRANSMART INC|105466341M,$0,,,,,,,,,,,,,
TOWERS OF EXCELLENCE|105494053M,$0,,,,,,,,,,,,,
TINYTOOTHPA|102454274M,$0,,,,,,,,,,,,,
"TILTON, KELLY & BELL, LLC|75695715E",$0,,,,,,,,,,,,,
THE BLOC|105504356L,$0,,,,,,,,,,,,,
TERRY GUEN DESIGN ASSOCIATES|95019554L,$0,,,,,,,,,,,,,
TECNICA ENVIRONMENTAL SERVICES|94129153M,$0,,,,,,,,,,,,,
TECH LOGIC CORP|102550511T,$0,,,,,,,,,,,,,
SYLVESTER BROOME EMPOWERMENT VILLAGE|105496114H,$0,,,,,,,,,,,,,
SWANSON FLO|102458791X,$0,,,,,,,,,,,,,
"STANTEC CONSULTING SERVICE, INC|94703200E",$0,,,,,,,,,,,,,
STANDARD PARKING CORPORATION 01|93963607P,$0,,,,,,,,,,,,,
STANDARD EQUIPMENT|3653482X,$0,,,,,,,,,,,,,
"SQN ASSOCIATES, LLC|103708743H",$0,,,,,,,,,,,,,
SPIRAL BINDING CO INC|31289720X,$0,,,,,,,,,,,,,
SOUTHWEST INDUSTRIES|93727031X,$0,,,,,,,,,,,,,
"SOMERCOR 504, INC.|72551787L",$0,,,,,,,,,,,,,
"SOLVAY FLUORIDES, LLC.|95251531V",$0,,,,,,,,,,,,,
SMNG A LIMITED|98099352V,$0,,,,,,,,,,,,,
SIMPLEE REMOVAL INC.|105519026P,$0,,,,,,,,,,,,,
SIMPLEE REMOVAL & TRUCKING INC|102454052T,$0,,,,,,,,,,,,,
SIMPLE GOOD|105493344M,$0,,,,,,,,,,,,,
SERVICE SANITATION|31379292X,$0,,,,,,,,,,,,,
SEGAL COMPANY(MIDWEST)INC.|21962060L,$0,,,,,,,,,,,,,
S.E.S. INC|31378654P,$0,,,,,,,,,,,,,
S & F SOFTWARE SOLUTIONS INC|96583412X,$0,,,,,,,,,,,,,
RYAN TOVA KATZ LLC|105505437L,$0,,,,,,,,,,,,,
RUSH TRUCK CENTERS OF ILLINOIS INC|95571775A,$0,,,,,,,,,,,,,
"RUBINOS & MESIA ENGINEERS, INC|12455120X",$0,,,,,,,,,,,,,
"RISK MANAGEMENT SOLUTIONS OF AMERICA, INC.|95235965T",$0,,,,,,,,,,,,,
"RISK MANAGEMENT & INFO SYSTEMS, INC.|22439062P",$0,,,,,,,,,,,,,
RINGOLD FINANCIAL MANAGEMEN SE|89924960V,$0,,,,,,,,,,,,,
"RI-DEL MANUFACTURING, INC.|12404297A",$0,,,,,,,,,,,,,
REYNOLDS SMITH & HILLS INC|94192138Z,$0,,,,,,,,,,,,,
REPUBLIC SERVICES INC|105510168X,$0,,,,,,,,,,,,,
RATIO ARCHITECTS INC|105468091P,$0,,,,,,,,,,,,,
R.M. CHIN & ASSOCIATES INC.|74354615P,$0,,,,,,,,,,,,,
QUMPUS INC.|94756894L,$0,,,,,,,,,,,,,
"QUERCUS CONSULTING, INC.|23350795M",$0,,,,,,,,,,,,,
QUANTUM ENGINEERING CORPORATION|105474291A,$0,,,,,,,,,,,,,
QUANTUM CROSSINGS LLC|23326474M,$0,,,,,,,,,,,,,
QUANDEL CONSULTANTS LLC|102463182H,$0,,,,,,,,,,,,,
QUALITY PLUS CARE INC DBA HEROES HOME HEALTH|105496682Z,$0,,,,,,,,,,,,,
PUBLIC SURPLUS LLC|104957115A,$0,,,,,,,,,,,,,
PUBLIC HEALTH INSTITUTE OF METROPOLITAN CHICAGO|93175057M,$0,,,,,,,,,,,,,
PUBLIC BUILDING COMMISSION CHICAGO|93427460M,$0,,,,,,,,,,,,,
PROFESSIONAL DYNAMIC NETWORK INC|CLEANED-UP|94591551X,$0,,,,,,,,,,,,,
PREFFERED DENTISTRY ASSOCIATES|105473032P,$0,,,,,,,,,,,,,
PREFERRED DENTAL GROUP|102636163T,$0,,,,,,,,,,,,,
PRADO & RENTERIA CPA'S|93682996X,$0,,,,,,,,,,,,,
PRADO & RENTERIA CPA'S|3629371L,$0,,,,,,,,,,,,,
"POLACH APPRAISAL GROUP, INC|31320943A",$0,,,,,,,,,,,,,
PNC FINANCIAL SERVICES GROUP|93561023E,$0,,,,,,,,,,,,,
"PLS FINANCIAL SERVICES, INC.|95235645X",$0,,,,,,,,,,,,,
"PF APPRAISALS, INC.|64330333X",$0,,,,,,,,,,,,,
PERMABAND|105503256A,$0,,,,,,,,,,,,,
"PERKINS & WILL, INC.|102498422T",$0,,,,,,,,,,,,,
PATTERSON'S CIRCLE R TOWING/ RECOVERY CO|6630766T,$0,,,,,,,,,,,,,
PATSON INC|93847129A,$0,,,,,,,,,,,,,
"PARTNERS & PAWS VETERINARY SERVICES, LLC.|94693071L",$0,,,,,,,,,,,,,
PARSONS TRANSPORTATION GROU 01|93568827H,$0,,,,,,,,,,,,,
PARSONS CONSTRUCTION GROUP INC|95608780P,$0,,,,,,,,,,,,,
OZINGA READY MIX CONCRETE INC|85903485T,$0,,,,,,,,,,,,,
"OZINGA ENERGY, LLC|102640958T",$0,,,,,,,,,,,,,
