,Purchase Order Description,Purchase Order (Contract) Number,Revision Number,Specification Number,Contract Type,Start Date,End Date,Approval Date,Department,Vendor Name,Vendor ID,Address 1,Address 2,City,State,Zip,Award Amount,Procurement Type,Contract PDF
7473,DFSS-CDBG-DV-MDTSFV:,175658,1,1220502,DELEGATE AGENCY,01/01/2022,12/31/2023,01/24/2023,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,FAMILY RESCUE,102667254E,8811 S STONY ISLAND AVE,,CHICAGO,IL,60617,$0.00,,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={B04A0B87-0000-CB11-815D-4B9B7FF7F1CC}
7474,DFSS-CORP-HL-SOES:,174891,1,1236107,DELEGATE AGENCY,01/01/2022,12/31/2023,01/24/2023,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,LEGAL COUNCIL FOR HEALTH JUSTICE,96825815P,180 N MICHIGAN AVENUE EFT,,CHICAGO,IL,60601,$0.00,,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={D0BBC887-0000-CC1A-A3E8-736F29607068}
7475,DFSS-ARP-YS-SCAN:,177114,1,1237770,DELEGATE AGENCY,02/25/2022,12/31/2023,01/24/2023,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,YOUNG MEN'S CHRISTIAN ASSOCIATION OF CHICAGO,100038336P,801 N DEARBORN ST,,CHICAGO,IL,60610,$0.00,,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={70083387-0000-CB10-B756-4CF6A557AFEB}
7476,DFSS-CORP-HL-BSO:,174905,1,1236107,DELEGATE AGENCY,01/01/2022,12/31/2023,01/24/2023,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,THRESHOLDS,93347425L,4101 N RAVENSWOOD AVENUE EFT,,CHICAGO,IL,60613,$0.00,,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={30968087-0000-C010-9CA0-B87081A510D0}
7477,DFSS-CORP-HL-PBTH:,175234,1,1236413,DELEGATE AGENCY,01/01/2022,12/31/2023,01/24/2023,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,KIDS ABOVE ALL ILLINOIS,105478810V,8765 W HIGGINS ROAD EFT,,CHICAGO,IL,60631,$0.00,,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={2099DA88-0000-CA16-B94E-FF43BEAC12C7}
7478,DFSS-CDBG-DV-LSFVDV:,176408,1,1237196,DELEGATE AGENCY,01/01/2022,12/31/2023,01/24/2023,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,METROPOLITAN FAMILY SERVICE,102603122X,SUITE 1000,SUITE 1000,CHICAGO,IL,60602,$0.00,,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={50CFC987-0000-C71A-A735-F8AEBCCA5886}
7479,DFSS-CORP-HL-SOES:,174898,1,1236107,DELEGATE AGENCY,01/01/2022,12/31/2023,01/24/2023,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,"RENAISSANCE SOCIAL SERVICES, INC.",31320486A,2001 W CHURCHILL ST,,CHICAGO,IL,60647,$0.00,,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={B0FE9587-0000-CB10-8D7D-534B59C2CA89}
7480,DFSS-CORP-HL-SOES:,174893,1,1236107,DELEGATE AGENCY,01/01/2022,12/31/2023,01/24/2023,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,LINCOLN PARK COMMUNITY SERVICES,102495601V,600 W FULLERTON PKWY,,CHICAGO,IL,60614,$0.00,,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={50E29987-0000-CB1A-98BA-1B4494D0B424}
7481,DFSS-CORP-HL-PBTH:,175235,1,1236413,DELEGATE AGENCY,01/01/2022,12/31/2023,01/24/2023,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,IGNITE ORG.,105461064X,3179 N BROADWAY,,CHICAGO,IL,60657,$0.00,,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={20B04F88-0000-C118-8C29-F4A97F7CF166}
7482,DFSS-ARP-YS-SCAN:,177112,1,1237770,DELEGATE AGENCY,02/25/2022,12/31/2023,01/24/2023,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,"PRECIOUS BLOOD MINISTRY OF RECONCILIATION, NFP",102526730A,5114 S ELIZABETH ST,,CHICAGO,IL,60609,$0.00,,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={70673C86-0000-CC17-BADD-F57EEAF3D8D2}
7483,DFSS-CDBG-DV-RIM:,175646,1,1220889,DELEGATE AGENCY,01/01/2022,12/31/2023,01/24/2023,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,FAMILY RESCUE,102667254E,8811 S STONY ISLAND AVE,,CHICAGO,IL,60617,$0.00,,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={307CE686-0000-C315-A6DA-CF23F6DF0651}
7484,DFSS-CDBG-DV-LSFVDV:,176407,1,1237196,DELEGATE AGENCY,01/01/2022,12/31/2023,01/24/2023,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,LIFE-SPAN,94659814V,70 E LAKE ST,,CHICAGO,IL,60601,$0.00,,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={F05DA986-0000-C311-A00A-B79493CF057D}
7485,DFSS-CORP-HL-SOES:,174903,1,1236107,DELEGATE AGENCY,01/01/2022,12/31/2023,01/24/2023,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,NIGHT MINISTRY,50130252P,4711 N RAVENSWOOD AVENUE EFT,,CHICAGO,IL,60640-4407,$0.00,,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={D0AA2F88-0000-CF1B-9299-055A05748680}
7486,DFSS-CORP-HL-ESH:,175085,1,1235949,DELEGATE AGENCY,01/01/2022,12/31/2023,01/24/2023,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,WM INITIATIVES LLC,102453997T,5104 TOLLVIEW DR,,ROLLING MEADOWS,IL,60008,"$50,000.00",,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={70127687-0000-C012-B8C5-251BB9DF4851}
7487,DFSS-CDBG-WS-EPPP:,177385,1,1237958,DELEGATE AGENCY,01/01/2022,12/31/2023,01/24/2023,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,"ETHIOPIAN COMMUNITY ASSOCIATION OF CHICAGO, INC.",102652682X,5800 N LINCOLN AVENUE EFT,,CHICAGO,IL,60659,$0.00,,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={F09DFC87-0000-C015-85C9-1230C4003CA7}
7488,DFSS-CORP-WS-EPPP:,177404,1,1237958,DELEGATE AGENCY,01/01/2022,12/31/2023,01/24/2023,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,YWCA METROPOLITAN CHICAGO,10054278H,180 N WABASH AVE STE 300,,CHICAGO,IL,60601,$0.00,,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={90579F86-0000-CA1F-9167-C2461C89EF5B}
7489,DFSS-CORP-HL-PBTH:,175238,1,1236413,DELEGATE AGENCY,01/01/2022,12/31/2023,01/24/2023,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,"NEW MOMS, INC.",5335401Z,5317 W CHICAGO AVE,,CHICAGO,IL,60651,"-$2,940,300.00",,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={30F2EF86-0000-C41B-AA83-E21FC9104943}
7490,DFSS-CDBG-WS-EPPP:,177384,1,1237958,DELEGATE AGENCY,01/01/2022,12/31/2023,01/24/2023,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,WESTSIDE HEALTH AUTHORITY,22686520T,ATTN: BUSINESS OFFICE/J. REED,5417 W DIVISION STREET EFT,CHICAGO,IL,60651,$0.00,,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={B0CECC86-0000-C91C-80CE-AD9F90C28209}
7491,"1243247: ISW BOTY CORRIDOR IMPROVEMENTS: ASHLAND AVE, 43RD ST TO 49TH ST (SBI)",209547,0,1243247,CONSTRUCTION-LARGE $3MILLIONorABOVE,,,01/24/2023,CHICAGO DEPARTMENT OF TRANSPORTATION,PAN-OCEANIC ENGINEERING CO INC,95584874P,6436 W HIGGINS AVENUE EFT,,CHICAGO,IL,60656,"$6,492,172.20",BID,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={D056BD90-0000-CE11-AA22-B73DA05A77A7}
7492,DFSS-CDBG-DV-RIM:,175650,1,1220889,DELEGATE AGENCY,01/01/2022,12/31/2023,01/24/2023,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,METROPOLITAN FAMILY SERVICE,102603122X,SUITE 1000,SUITE 1000,CHICAGO,IL,60602,$0.00,,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={608E8087-0000-CA10-9055-3F1AE2FC782B}
7493,DFSS-CDBG-WS-TJP:,177416,1,1221530,DELEGATE AGENCY,01/01/2022,12/31/2023,01/24/2023,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,YWCA METROPOLITAN CHICAGO,10054278H,180 N WABASH AVE STE 300,,CHICAGO,IL,60601,$0.00,,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={30853987-0000-C816-A762-652F286A5871}
7494,DFSS-CORP-HL-PBTH:,175239,1,1236413,DELEGATE AGENCY,01/01/2022,12/31/2023,01/24/2023,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,"UNITY PARENTING & COUNSELING, INC.",62578112M,600 W CERMAK RD # 300,,CHICAGO,IL,60616,$0.00,,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={4092BF88-0000-C015-BB36-8BC7BB0B8616}
7495,DFSS-CDBG-WS-EPPP:,177377,1,1237958,DELEGATE AGENCY,01/01/2022,12/31/2023,01/24/2023,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,POLISH/AMERICAN ASSOCIATION,3711832T,3834 N CICERO AVE FL 1ST,,CHICAGO,IL,60641,$0.00,,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={80369E86-0000-C811-AB29-0CC9437A9AD2}
7496,DFSS-CORP-HL-SOES:,174897,1,1236107,DELEGATE AGENCY,01/01/2022,12/31/2023,01/24/2023,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,"NORTH SIDE HOUSING & SUPPORTIVE SERVICES, INC.",93651840H,3340 N CLARK ST,,CHICAGO,IL,60657,$0.00,,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={30BE5888-0000-C31E-9E21-4278DCF9B6BF}
7497,DFSS-CDBG-HS-EFAFARP:,177105,1,1237763,DELEGATE AGENCY,01/01/2022,12/31/2023,01/24/2023,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,GREATER CHICAGO FOOD DEPOSITORY,30162645M,4100 W ANN LURIE PL,,CHICAGO,IL,60632,$0.00,,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={C08BC886-0000-C511-BEEE-157D72A84366}
7498,DFSS-CDBG-DV-MDTSFV:,175656,1,1220502,DELEGATE AGENCY,01/01/2022,12/31/2023,01/24/2023,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,CONNECTIONS FOR ABUSED WOMEN & THEIR CHILDREN,99762816V,PO BOX 477916,,CHICAGO,IL,60620,"-$24,918.00",,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={903A5887-0000-C61F-9255-29C36F6CEAC9}
7499,DFSS-CDBG-DV-RIM:,175651,1,1220889,DELEGATE AGENCY,01/01/2022,12/31/2023,01/24/2023,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,SARAH'S INN,105458988X,1547 CIRCLE AVENUE EFT,,FOREST PARK,IL,60130,$0.00,,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={10EC0A87-0000-C816-A286-4D4EF869CB0E}
7500,DFSS-CDBG-WS-ISTPP:,177235,1,1237847,DELEGATE AGENCY,01/01/2022,12/31/2023,01/24/2023,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,YWCA METROPOLITAN CHICAGO,10054278H,180 N WABASH AVE STE 300,,CHICAGO,IL,60601,$0.00,,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={E0E9E186-0000-C91B-97FF-5760082588C1}
7501,DFSS-CORP-HL-BSO:,174894,1,1236107,DELEGATE AGENCY,01/01/2022,12/31/2023,01/24/2023,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,MATTHEW HOUSE,86781789M,3722-3728 S INDIANA AVE,,CHICAGO,IL,60653,$0.00,,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={D0A9DC86-0000-CE10-9B2C-43012425A68C}
7502,DFSS-ARP-YS-SCAN:,177109,1,1237770,DELEGATE AGENCY,02/25/2022,12/31/2023,01/24/2023,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,CHILDREN'S HOME & AID SOCIETY OF ILLINOIS,93427732E,125 S WACKER DR FL 14TH  EFT,,CHICAGO,IL,60606-4475,$0.00,,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={90C55686-0000-CD1E-AC46-6C3281FA18E2}
7503,DFSS-CDBG-HL-BSO:,174900,1,1236107,DELEGATE AGENCY,01/01/2022,12/31/2023,01/24/2023,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,SARAH'S CIRCLE,99253746H,4750 N SHERIDAN RD # 220,,CHICAGO,IL,60640,$0.00,,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={2072E086-0000-C115-917B-9E7F8A82F1BF}
7504,DFSS-CORP-YS-OST:,210696,0,1247493,DELEGATE AGENCY,01/01/2023,12/31/2024,01/23/2023,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,YWCA METROPOLITAN CHICAGO,10054278H,180 N WABASH AVE STE 300,,CHICAGO,IL,60601,"$432,000.00",,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={402FE287-0000-CF17-84AA-B5411BB030E0}
7505,1116719: Jackson Park Mobility Improvements,177310,13,1116719,CONSTRUCTION-LARGE $3MILLIONorABOVE,,,01/23/2023,CHICAGO DEPARTMENT OF TRANSPORTATION,"F.H. PASCHEN, S.N. NIELSEN & ASSOCIATES, LLC",102903767L,5515 N EAST RIVER ROAD EFT XX  2356,,CHICAGO,IL,60656,"$126,400.00",BID,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={C01F668A-0000-C41A-9E53-73E5C809BDE4}
7506,DFSS-CDBG-HL-ESH:,174589,1,1235949,DELEGATE AGENCY,01/01/2022,12/31/2023,01/23/2023,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,FRANCISCAN OUTREACH,104563435H,717 W 18TH ST # B,,CHICAGO,IL,60616,$0.00,,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={90C7DC87-0000-C610-AA63-D108A7EBC556}
7507,DFSS-ESG-HL-ESH:,174606,1,1235949,DELEGATE AGENCY,01/01/2022,12/31/2023,01/23/2023,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,INSTITUTE FOR WOMEN TODAY,3683975V,MARIA SHELTER,7315 S YALE AVE,CHICAGO,IL,60621,$0.00,,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={10E5A886-0000-CF1B-940A-EB9F1F44FB8B}
7508,DFSS-CORP-HL-ESH:,174622,1,1235949,DELEGATE AGENCY,01/01/2022,12/31/2023,01/23/2023,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,BOULEVARD OF CHICAGO INC,97791865E,3456 W FRANKLIN BOULEVARD EFT,,CHICAGO,IL,60624,$0.00,,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={20F7C088-0000-C411-878A-69436331FA53}
7509,DFSS-CORP-HL-HMLPREV:,174658,1,1236028,DELEGATE AGENCY,01/01/2022,12/31/2023,01/23/2023,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,YWCA METROPOLITAN CHICAGO,10054278H,180 N WABASH AVE STE 300,,CHICAGO,IL,60601,$0.00,,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={90097888-0000-C410-83E5-24F3E4A1A010}
7510,DFSS-IDHS-HL-INTHS:,174619,1,1235949,DELEGATE AGENCY,01/01/2022,12/31/2023,01/23/2023,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,SARAH'S CIRCLE,99253746H,4750 N SHERIDAN RD # 220,,CHICAGO,IL,60640,$0.00,,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={A0620B87-0000-CE11-AF29-A603EEE6C366}
7511,DFSS-CORP-YS-MENT:,211647,0,1248935,DELEGATE AGENCY,01/01/2023,12/31/2024,01/23/2023,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,ALTERNATIVE SCHOOLS NETWORK,8509307T,1807 W SUNNYSIDE AVE STE 1D,,CHICAGO,IL,60640,"$1,449,000.00",,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={303B8486-0000-CB1C-9BC1-7C97D0121A78}
7512,DFSS-CORP-YS-MENT:,211680,0,1248935,DELEGATE AGENCY,01/01/2023,12/31/2024,01/23/2023,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,COMMUNITY DEVELOPMENT INSTITUTE,102700625H,7836 S UNION AVE,,CHICAGO,IL,60620,"$310,500.00",,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={40B49486-0000-CA11-9FF9-02826F1D9E5C}
7513,DFSS-CORP-YS-OST:,210689,0,1247493,DELEGATE AGENCY,01/01/2023,12/31/2024,01/23/2023,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,"SKYART, NFP",99253706X,3217 E 91ST ST,,CHICAGO,IL,60617,"$216,000.00",,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={303CC387-0000-C513-B055-897D7362748F}
7514,DFSS-CORP-YS-OST:,210695,0,1247493,DELEGATE AGENCY,01/01/2023,12/31/2024,01/23/2023,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,YOUNG MEN'S CHRISTIAN ASSOCIATION OF CHICAGO,100038336P,801 N DEARBORN ST,,CHICAGO,IL,60610,"$720,000.00",,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={3077BF87-0000-CD1A-9F34-355486A462B9}
7515,DFSS-IDHS-HL-INTHS:,174632,1,1235949,DELEGATE AGENCY,01/01/2022,12/31/2023,01/23/2023,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,NIGHT MINISTRY,50130252P,4711 N RAVENSWOOD AVENUE EFT,,CHICAGO,IL,60640-4407,$0.00,,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={80B52F88-0000-C41F-A8CD-5EBC26973636}
7516,SOUTH WATER STREET VIADUCT REHABILITATION - Beaubien Ct. to Stetson Ave.,136757,19,561863,CONSTRUCTION-LARGE $3MILLIONorABOVE,,,01/23/2023,CHICAGO DEPARTMENT OF TRANSPORTATION,"F.H. PASCHEN S.N. NIELSEN & ASSOCIATES, LLC",94387210X,5515 N EAST RIVER ROAD EFT,,CHICAGO,IL,60656,"$73,116.70",BID,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={70021386-0000-C113-95B2-DCEF7521DB6F}
7517,DFSS-CORP-YS-MENT:,211689,0,1248935,DELEGATE AGENCY,01/01/2023,12/31/2024,01/23/2023,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,METROPOLITAN FAMILY SERVICE,102603122X,SUITE 1000,SUITE 1000,CHICAGO,IL,60602,"$207,000.00",,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={303E9986-0000-C91E-B671-47FFBA6D24B4}
7518,DFSS-CORP-YS-MENT:,211687,0,1248935,DELEGATE AGENCY,01/01/2023,12/31/2024,01/23/2023,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,LIFE DIRECTIONS,102489745V,2940 W 40TH PL,,CHICAGO,IL,60632,"$207,000.00",,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={10D59886-0000-CD19-8CA5-F431376706F7}
7519,DFSS-CORP-HL-ESH:,174587,1,1235949,DELEGATE AGENCY,01/01/2022,12/31/2023,01/23/2023,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,FAMILY RESCUE,102667254E,8811 S STONY ISLAND AVE,,CHICAGO,IL,60617,$0.00,,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={008B0C88-0000-C91B-BBA8-1556D69A38BD}
7520,1204785: Arterial Street Resurfacing North Area - Project No. 91,173574,3,1204785,CONSTRUCTION-LARGE $3MILLIONorABOVE,,,01/23/2023,CHICAGO DEPARTMENT OF TRANSPORTATION,ARROW ROAD CONSTRUCTION COMPANY,102687343E,1445 OAKTON ST,,ELK GROVE VILLAGE,IL,60007,"$5,000.00",BID,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={80F91286-0000-CE19-B7B0-00D0C9E9676E}
7521,DFSS-CORP-HL-ESH:,174616,1,1235949,DELEGATE AGENCY,01/01/2022,12/31/2023,01/23/2023,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,PRIMO CENTER FOR WOMEN & CHILDREN,105460385M,6212 S SANGAMON ST,,CHICAGO,IL,60621,"$400,000.00",,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={A06B7486-0000-C712-BD01-58F275E24BFD}
7522,1116719: Jackson Park Mobility Improvements,177310,10,1116719,CONSTRUCTION-LARGE $3MILLIONorABOVE,,,01/23/2023,CHICAGO DEPARTMENT OF TRANSPORTATION,"F.H. PASCHEN S.N. NIELSEN & ASSOCIATES, LLC",94387210X,5515 N EAST RIVER ROAD EFT,,CHICAGO,IL,60656,"$58,000.00",BID,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={C020668A-0000-CC17-8A51-B5F73AB0DA0D}
7523,DFSS-CORP-YS-MENT:,211645,0,1248935,DELEGATE AGENCY,01/01/2023,12/31/2024,01/23/2023,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,"A KNOCK AT MIDNIGHT, NFP",28976533T,400 W 76TH STREET EFT ST,STE 202,CHICAGO,IL,60620,"$207,000.00",,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={A080A986-0000-CA14-A018-36BF93B56CAA}
7524,DFSS-CORP-YS-MENT:,211681,0,1248935,DELEGATE AGENCY,01/01/2023,12/31/2024,01/23/2023,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,ERIE NEIGHBORHOOD HOUSE,9137861Z,1347 W ERIE ST,,CHICAGO,IL,60622,"$207,000.00",,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={2094EB86-0000-C110-B19C-F250FA55F18E}
7525,"1182986:  GRAND AVENUE 
IMPROVEMENTS - SECTION VI (W. Grand Ave. from W. Chicago Ave. to N. Damen Ave.)",153526,15,1182986,CONSTRUCTION-LARGE $3MILLIONorABOVE,,,01/23/2023,CHICAGO DEPARTMENT OF TRANSPORTATION,PAN-OCEANIC ENGINEERING CO INC,95584874P,6436 W HIGGINS AVENUE EFT,,CHICAGO,IL,60656,"$24,000.00",BID,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={00071386-0000-CF13-A4CF-F12F8A061852}
7526,DFSS-IDHS-HL-INTHS:,174581,1,1235949,DELEGATE AGENCY,01/01/2022,12/31/2023,01/23/2023,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,CORNERSTONE COMMUNITY OUTREACH,11986037E,939 W WILSON AVE,,CHICAGO,IL,60640,$0.00,,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={E0D7A487-0000-C917-8032-D0F852936DB2}
7527,DFSS-CORP-YS-OST:,210690,0,1247493,DELEGATE AGENCY,01/01/2023,12/31/2024,01/23/2023,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,CATHOLIC BISHOP OF CHICAGO - ST. SABINA CHURCH,102489050V,ST. PIUS V PARISH/HOPE,1919 S ASHLAND AVE,CHICAGO,IL,60608,"$216,000.00",,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={2043E887-0000-CA13-A6D5-5711529A97E2}
7528,DFSS-CORP-YS-MENT:,211675,0,1248935,DELEGATE AGENCY,01/01/2023,12/31/2024,01/23/2023,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,CIRC ESTEEM INC,96113116H,4730 N SHERIDAN RD,,CHICAGO,IL,60640,"$517,500.00",,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={10113C86-0000-C319-89BA-8B261CFD25C2}
7529,1188040 - Arterial Street Resurfacing North Area - Project No. 87,140240,8,1188040,CONSTRUCTION-LARGE $3MILLIONorABOVE,,,01/23/2023,CHICAGO DEPARTMENT OF TRANSPORTATION,BIGANE PAVING COMPANY/O PLOTE CONSTRUCTION INC JV,42441106P,935 W CHESTNUT ST STE 20,,CHICAGO,IL,60622-5445,"$18,000.00",BID,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={90051386-0000-C011-B608-57A11BEACE0A}
7530,1188838: WEBSTER AVENUE BRIDGE OVER THE NORTH BRANCH OF THE CHICAGO RIVER,158615,11,1188838,CONSTRUCTION-LARGE $3MILLIONorABOVE,,,01/23/2023,CHICAGO DEPARTMENT OF TRANSPORTATION,"F.H. PASCHEN, S.N. NIELSEN & ASSOCIATES, LLC",102903767L,5515 N EAST RIVER ROAD EFT XX  2356,,CHICAGO,IL,60656,"$29,280.00",BID,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={50031386-0000-C010-842E-7891CF241FC2}
7531,DFSS-CORP-HL-ESH:,174605,1,1235949,DELEGATE AGENCY,01/01/2022,12/31/2023,01/23/2023,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,INSTITUTE FOR WOMEN TODAY,3683975V,MARIA SHELTER,7315 S YALE AVE,CHICAGO,IL,60621,"$150,000.00",,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={20E70F87-0000-C810-9DD3-D2B41E7A4329}
